date_of_purchase,name_of_purchaser,Prefix,bond_number,denominations
12-Apr-19,A B C INDIA LIMITED,TL,11448,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,TL,11447,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,TL,11441,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1113,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1118,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1112,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1115,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1119,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1110,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1111,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1106,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1114,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1117,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,"10,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,"10,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,"1,00,000"
12-Apr-19,ARIHANT ENTERPRISES,TL,11551,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,TL,11554,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,TL,11553,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,TL,11552,"10,00,000"
12-Apr-19,CHOUDHARY GARMENTS,TL,12904,"10,00,000"
12-Apr-19,CHOUDHARY GARMENTS,TL,12902,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6297,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6275,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6261,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6278,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6262,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6274,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6257,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6273,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6272,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6280,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6251,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,4597,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6279,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6296,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6256,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6286,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6298,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6267,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,4632,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6284,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6254,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6292,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6268,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6258,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6253,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6293,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6281,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6264,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6288,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6300,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6269,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,4598,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6263,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6270,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6283,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6299,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6271,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6252,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6282,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6259,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6295,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6260,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6255,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6265,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6285,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6289,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6291,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6294,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,OC,6287,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11440,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11437,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11439,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11445,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11438,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11432,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11444,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11443,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11446,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,TL,11442,"10,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7045,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7041,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7025,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7051,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7035,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7059,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7037,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7033,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7053,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7061,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7029,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7049,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7057,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7043,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7039,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7047,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7027,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7055,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7031,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,OC,7023,"1,00,00,000"
12-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3410,"10,00,000"
12-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3407,"10,00,000"
12-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3412,"10,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,TL,11557,"10,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,TL,11558,"10,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1133,"1,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1127,"1,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1131,"1,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1130,"1,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1132,"1,00,000"
12-Apr-19,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2344,"10,00,000"
12-Apr-19,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2341,"10,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5485,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5465,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5497,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5510,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5484,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5522,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5490,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5496,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5456,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5469,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5495,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5503,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5486,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5482,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5502,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5500,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5483,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5479,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5473,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5518,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5476,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5501,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5489,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5487,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5499,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5452,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5480,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5494,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5516,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5520,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5506,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5511,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5507,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5505,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5512,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5504,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5508,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5493,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5514,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5478,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5498,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5524,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5488,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5477,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5492,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5491,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5513,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5461,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5509,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5481,"1,00,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,TL,11450,"10,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,TL,11449,"10,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,OL,1121,"1,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,OL,1120,"1,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,OL,1123,"1,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,OL,1116,"1,00,000"
12-Apr-19,MERLIN RECREATION PVT LTD,OL,1122,"1,00,000"
12-Apr-19,MSPL LTD,OC,588,"1,00,00,000"
12-Apr-19,MYRIAD DEVELOPERS,TL,2357,"10,00,000"
12-Apr-19,MYRIAD DEVELOPERS,OL,10036,"1,00,000"
12-Apr-19,MYRIAD DEVELOPERS,OL,10032,"1,00,000"
12-Apr-19,MYRIAD DEVELOPERS,OL,10038,"1,00,000"
12-Apr-19,MYRIAD DEVELOPERS,OL,10034,"1,00,000"
12-Apr-19,MYRIAD DEVELOPERS,OL,10030,"1,00,000"
12-Apr-19,OMKAR VENTURES PVT LTD,OC,7070,"1,00,00,000"
12-Apr-19,OMKAR VENTURES PVT LTD,OC,7066,"1,00,00,000"
12-Apr-19,OMKAR VENTURES PVT LTD,OC,7068,"1,00,00,000"
12-Apr-19,OMKAR VENTURES PVT LTD,OC,7064,"1,00,00,000"
12-Apr-19,PATEL HIGHWAY MANAGEMENT PVT LTD,OC,2855,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7018,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7052,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6678,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6684,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7002,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7048,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7020,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7008,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6694,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7024,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7006,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7026,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7028,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6690,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6700,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7044,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6698,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7022,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6674,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7004,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7030,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6688,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7046,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7014,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6682,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7036,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7050,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6692,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7038,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7010,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7012,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6676,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7034,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6686,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6680,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7032,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7040,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7016,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,6696,"1,00,00,000"
12-Apr-19,PHL FINIVEST PVT LTD,OC,7042,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6699,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6683,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6687,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6695,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,7001,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6697,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6691,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6693,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6685,"1,00,00,000"
12-Apr-19,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6689,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7007,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7005,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7015,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7013,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7019,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7011,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7021,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7003,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7009,"1,00,00,000"
12-Apr-19,PIRAMAL ENTERPRISES LTD,OC,7017,"1,00,00,000"
12-Apr-19,PONUGOTI HEMENDAR RAO,OL,23643,"1,00,000"
12-Apr-19,PONUGOTI HEMENDAR RAO,OL,23641,"1,00,000"
12-Apr-19,PONUGOTI HEMENDAR RAO,OL,23645,"1,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,OC,7065,"1,00,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,OC,7067,"1,00,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,OC,7063,"1,00,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,OC,7069,"1,00,00,000"
12-Apr-19,RENUKA INVESTMENTS AND FINANCE LTD,OC,7071,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,OC,7058,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,OC,7056,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,OC,7054,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,OC,7062,"1,00,00,000"
12-Apr-19,RENUKESHWAR INVESTMENTS PVT LTD,OC,7060,"1,00,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,TL,2351,"10,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,TL,2353,"10,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,TL,2355,"10,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,TL,2349,"10,00,000"
12-Apr-19,SHIVAM TRANSCON PRIVATE LIMITED,TL,2346,"10,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,TL,2359,"10,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,OL,10046,"1,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,OL,10040,"1,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,OL,10042,"1,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,OL,10044,"1,00,000"
12-Apr-19,SKYWORLD DEVELOPERS LLP,OL,10048,"1,00,000"
12-Apr-19,TEXPORT CREATION,TL,9445,"10,00,000"
12-Apr-19,TEXPORT CREATION,TL,9439,"10,00,000"
12-Apr-19,TEXPORT CREATION,TL,9444,"10,00,000"
12-Apr-19,TEXPORT CREATION,TL,9446,"10,00,000"
12-Apr-19,TEXPORT CREATION,TL,9443,"10,00,000"
12-Apr-19,TEXPORT CREATION,TL,9438,"10,00,000"
12-Apr-19,TEXPORT CREATION,TL,9441,"10,00,000"
12-Apr-19,TEXPORT CREATION,TL,9442,"10,00,000"
12-Apr-19,TEXPORT CREATION,TL,9440,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,OC,5268,"1,00,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,OC,5266,"1,00,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,OC,5267,"1,00,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,TL,10931,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,TL,10932,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,TL,10930,"10,00,000"
15-Apr-19,ALOK NARAYAN PANDEY,TL,10929,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,TL,10933,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,TL,10936,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,TL,10935,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,TL,10937,"10,00,000"
15-Apr-19,BELLWEY INTERNATIONAL CO,TL,10934,"10,00,000"
15-Apr-19,CHHATTISGARH DISTILLERIES LIMITED,OC,1357,"1,00,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,OL,13883,"1,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,OL,13881,"1,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,OL,13889,"1,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,OL,13887,"1,00,000"
15-Apr-19,DEMPO INDUSTRIES PVT LTD,OL,13885,"1,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2864,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2872,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2860,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2862,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2866,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2868,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2858,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2870,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2874,"1,00,00,000"
15-Apr-19,GUJARAT FLUORO CHEMICALS LIMITED,OC,2856,"1,00,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,OL,23675,"1,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,OL,23668,"1,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,OL,23670,"1,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,OL,23677,"1,00,000"
15-Apr-19,KOTESWAR RAO GULLAPALLY,OL,23672,"1,00,000"
15-Apr-19,MANDADI RAMULU,OL,23651,"1,00,000"
15-Apr-19,MANDADI RAMULU,OL,23653,"1,00,000"
15-Apr-19,MANDADI RAMULU,OL,23655,"1,00,000"
15-Apr-19,MANDADI RAMULU,OL,23657,"1,00,000"
15-Apr-19,MOHINDER                                 KUMAR JAIN,TL,10908,"10,00,000"
15-Apr-19,MOHINDER                                 KUMAR JAIN,TL,10909,"10,00,000"
15-Apr-19,MOHINDER                                 KUMAR JAIN,OL,3145,"1,00,000"
